section,date,ymd,paper,author,title,doc_id,nword,nsentence,self_reference,accountability_word_count,investigation_related,documents_reveal,investigation_duration,series_indicated
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Brittany Wallman and Megan O'Matz; South Florida Sun Sentinel,"Parkland shooter: 'I really want kids'; 
Cruz's love letters talk about his wants, but not the charges",110706,1250,94,1,7,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)",NA,A means to remove mayor isn't the only charter change needed,110707,787,23,1,15,0,0,0,0
anne arundel,2019-04-14,20190414,"Sun, The (Baltimore, MD)",E.B. Furgurson III; Baltimore Sun Media Group,Church pays off $1.89 million in medical debt,110708,506,28,0,2,0,0,0,0
features,2019-04-14,20190414,"Sun, The (Baltimore, MD)","Naomi Harris; nharris@capgaznews.com; 
nharris@capgaznews.com;twitter.com/NaomiJayHarris",Couple who want to bring tiny home to Annapolis featured on A&E show,110709,356,13,0,2,0,0,0,0
howard,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Janene Holzberg; For The Baltimore Sun,"Living history; 
Local historian to give; 
tours Sunday of Belmont Manor and Historic Park",110710,1030,43,2,7,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Hetty C. Haden; Hetty C. Haden (hettepop@gmail.com) is a retired medical billing manager; she lives in Reisterstown.,How the Orioles saved a fan's life,110712,670,39,0,4,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Scott Mautz,"Little lessons; 
Set stage for kids to have healthy financial habits as adults",110714,827,40,0,1,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)","Frederick N. Rasmussen; The Baltimore Sun; 
fred.rasmussen@baltsun.com","Rosemary C. Easley; 
A Master Gardener and a mainstay for more; 
than three decades at Garland's Garden Center",110715,760,42,2,2,0,0,0,0
features,2019-04-14,20190414,"Sun, The (Baltimore, MD)","Chris Kaltenbach; The Baltimore Sun; 
ckaltenbach@baltsun.com;twitter.com/chriskaltsun",'Game of Thrones' events happening all over Baltimore,110716,536,30,2,3,0,0,0,0
howard,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Jess Nocera; Baltimore Sun Media Group,Schools to keep Sept. 3 start date despite change to executive order,110718,356,17,1,3,0,0,0,0
anne arundel,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Selene San Felice; Baltimore Sun Media Group,"Loss of Mike Busch sent ripples through entire General Assembly; 
For freshmen legislators, speaker's death will serve as catalyst",110719,1767,102,1,10,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Heidi Zak,"Getting into a good groove; 
Habits that can reduce stress, boost energy",110720,691,39,0,1,0,0,0,0
howard,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Jess Nocera; Baltimore Sun Media Group,Howard County schools seek waiver to skip final weather makeup day,110721,313,18,0,0,0,0,0,0
anne arundel,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Patrice Drago; For The Baltimore Sun Media Grou,Gallery notes,110722,859,51,0,6,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Danielle Turchiano; Variety,Jodie Comer reflects on direction of 'Killing Eve',110723,581,33,0,7,0,0,0,0
features,2019-04-14,20190414,"Sun, The (Baltimore, MD)","Sarah Meehan; The Baltimore Sun; 
smeehan@baltsun.com;twitter.com/sarahvmeehan",John Oliver skewers Mayor Pugh's Healthy Holly scandal,110724,333,12,1,4,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)",#NAME?,"Rise, fall of 'Healthy Holly' prices; 
Cost has fluctuated rapidly over the past eight years, from $5 to $9 per copy",110725,492,16,2,3,0,0,0,0
life and travel,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Tanika Davis,"Another kid? Maybe. Then reality sets in; 
Having children both a source of great joy, chaos",110726,768,61,3,3,0,0,0,0
life and travel,2019-04-14,20190414,"Sun, The (Baltimore, MD)",NA,Maryland Art Place's Out of Order,110727,352,25,0,1,0,0,0,0
howard,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Erin B. Logan; Baltimore Sun Media Group,Howard lawmakers filed 13 bills at General Assembly,110728,623,33,1,7,0,1,0,0
features,2019-04-14,20190414,"Sun, The (Baltimore, MD)","Hallie Miller; The Baltimore Sun; 
hmiller@baltsun.com;twitter.com/@MsHallieMiller","Rhythm; 
&Blues; 
Singer Mario looks to put Baltimore on his back",110729,876,35,2,5,0,0,0,0
life and travel,2019-04-14,20190414,"Sun, The (Baltimore, MD)",Kevin Brouillard; Tribune News Service,"National parks with great sights, fewer crowds",110730,974,47,0,3,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)","Meredith Cohn ; and Pamela Wood; The Baltimore Sun; 
meredith.cohn@baltsun.com;twitter.com/mercohn","Lawmakers pass multiple health-related bills; 
Supporters say steps needed to protect Md. consumers",110731,972,42,0,20,0,0,0,0
main news,2019-04-14,20190414,"Sun, The (Baltimore, MD)","Patricia Schultheis; Patricia Schultheis (bpschult@yahoo.com) is the author of ""Baltimore's Lexington Market,"" and of a short story collection titled ""St. Bart's Way."" Her latest book, a memoir titled ""A Balanced Life,"" was published by All Things That Matter Press in Septemb",Sickened by 'Healthy Holly',110732,754,39,0,9,0,0,0,0
health and style,2019-04-18,20190418,"Sun, The (Baltimore, MD)","Sarah Meehan; The Baltimore Sun; 
smeehan@baltsun.com;twitter.com/sarahvmeehan","Baltimore among most sleep-deprived U.S. cities; 
Study: Nearly half of residents sleep fewer than 7 hours nightly",110734,202,12,0,4,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)",NA,Stevenson University lists Greenspring campus for sale,110735,884,39,1,9,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)",Gilbert Bliss,Guns dangerous simply by their presence,110736,711,38,0,11,0,0,0,0
health and style,2019-04-18,20190418,"Sun, The (Baltimore, MD)",Kristen Jordan Shamus; Detroit Free Press,"Pancreatic cancer on the rise; cures rare; 
Disease could be 2nd-leading cancer killer by next year",110738,787,40,0,6,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)",Danielle Ohl; Baltimore Sun Media Group,Naval Academy to enforce Pentagon's transgender ban,110739,328,12,0,3,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)","Jacques Kelly; The Baltimore Sun; 
jacques.kelly@baltsun.com","Stanley Plumly; 
Former state poet laureate was a respected U. of M. faculty member who taught creative writing, edited anthologies",110740,774,53,0,8,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)",NA,"Christine Y. Gray, social worker",110741,230,16,0,0,0,0,0,0
health and style,2019-04-18,20190418,"Sun, The (Baltimore, MD)",Aramide Esubi; Tribune Content Agency,Building a budget wardrobe for work,110743,662,34,0,4,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)",Raymond Daniel Burke,"Magic could happen for; 
O's this year; it has before",110744,736,42,0,1,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)",Caitlin Cross-Barnet,Let's hear it for the 'safety school',110745,788,43,0,5,0,0,0,0
main news,2019-04-18,20190418,"Sun, The (Baltimore, MD)",NA,"Baltimore should love Trump's proposal; 
to dump immigrants; 
in sanctuary cities",110746,789,51,3,11,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)","Talia Richman; The Baltimore Sun; 
trichman@baltsun.com;twitter.com/TaliRichman","Students resist Hopkins police force; 
New state law allows for an armed department; students maintain protest with sit-in",110747,1064,47,0,11,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)",Catalina Righter; Baltimore Sun Media Group,"Westminster considers eliminating; 
plastic bags; 
If approved, ordinance would go into effect; 
in summer of 2020",110748,710,33,0,11,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)","Phil Davis; The Baltimore Sun; 
pdavis@baltsun.com;twitter.com/PDavis_LLC","Janet Caslow; 
Community booster and advocate, worked with; 
multiple organizations, founded Port Fest Baltimore",110750,338,21,0,2,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)","Phil Davis; The Baltimore Sun; 
pdavis@baltsun.com;twitter.com/PDavis_LLC",Police arrest at least 20 people in mall disturbance,110751,249,11,1,7,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)",Lisa Rusyniak,Look around this Earth Day - at your world and each other,110752,623,31,0,9,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)","Ian Duncan and ;Kevin Rector; The Baltimore Sun; 
iduncan@baltsun.com;twitter.com/iduncan","Amid scandal, talk of change; 
Baltimore City Council to weigh new ethics rules, limits on mayoral power",110753,1290,49,1,21,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)",NA,"An inside look at a city jury; 
The murder and the evidence; 
Suspects and an arrest; 
The defense; 
The deliberations; 
Seeing is believing",110754,1786,104,0,23,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)","Colin Campbell; The Baltimore Sun; 
cmcampbell@baltsun.com;twitter.com/cmcampbell6","City office under review; 
Baltimore inspector general investigating the morale at transportation department",110755,480,16,1,7,0,0,0,0
main news,2019-04-22,20190422,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110757,611,53,0,2,0,0,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",Owen Gleiberman; Variety,"Fanning's singing can't save dull role; 
'Teen Spirit' **",110758,664,27,0,2,0,0,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",Elizabeth Nonemaker; For the Baltimore Sun,"Inspiration in nature; 
Occasional Symphony's upcoming Baltimore concert is for the trees",110759,760,36,5,9,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Jacques Kelly; The Baltimore Sun; 
jacques.kelly@baltsun.com",Reminiscing about old Baltimore record stores,110760,267,18,0,0,1,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Jean Marbella; The Baltimore Sun; 
jean.marbella@baltsun.com;twitter.com/jean_marbella","'She's in a terrible spot,' lawyer says; 
A series of early morning federal raids signals an escalation of Pugh's troubles",110761,836,45,0,14,0,0,1,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Doug Donovan ;and Ian Duncan; The Baltimore Sun; 
ddonovan@baltsun.com;twitter.com/dougdonovan","MCAT, run by convicted thief, received grants, raided by feds",110762,1467,77,0,12,0,5,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",Katie Walsh; Tribune News Service,"Return of 17th century ghost a lukewarm affair; 
'The Curse of La Llorona' **",110763,510,20,0,12,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)",James F. Burdick,"'Health Care for All,' the path forward",110764,697,37,0,9,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Luke Broadwater; The Baltimore Sun; 
luke.broadwater@baltsun.com;twitter.com/lukebroadwater",UMMS receives subpoena in Pugh probe,110765,569,27,3,8,0,0,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",Richard Wade,"Preserve's lively eating, with a side of pickling",110766,734,46,3,1,0,0,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",NA,NOW PLAYING,110767,626,23,0,3,0,0,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",NA,COMING SOON,110768,341,28,0,2,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Frederick N. Rasmussen; The Baltimore Sun; 
fred.rasmussen@baltsun.com","Thomas Toporovich; 
Former longtime Baltimore County Council secretary, Dundalk community activist and fashion plate",110769,1203,77,4,13,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Colin Campbell; The Baltimore Sun; 
cmcampbell@baltsun.com;twitter.com/cmcampbell6",Attorney: Mayor Pugh remains in poor health,110770,704,38,1,10,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Ian Duncan;and Luke Broadwater; The Baltimore Sun; 
iduncan@baltsun.com;twitter.com/iduncan","FBI, IRS seize files; governor calls on mayor to step down",110771,1584,84,3,23,0,1,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",NA,Know when to give up a little value,110772,592,33,0,4,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)",#NAME?,"Mary H. Lambrow, former librarian",110775,218,17,0,0,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)",NA,Sites federal agents investigated Thursday,110776,73,6,0,1,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Rachael Pacella; rpacella@capgaznews.com; 
Baltimore Sun reporters Pamela Wood and Doug Donovan contributed to this report.","Pimlico owner promises to release report; 
If granted confidentiality, company will offer; 
study on closed seats",110779,587,25,1,8,0,0,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",Luaine Lee; Tribune News Service,Actress follows her heart back to 'La Reina' revival,110780,666,46,0,3,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)",NA,What the raids on Mayor Pugh mean,110781,775,36,3,20,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)","Talia Richman; The Baltimore Sun; 
trichman@baltsun.com;twitter.com/TaliRichman","Officials pledge to move city forward despite 'chaos'; 
Amid FBI and IRS raids in Baltimore, residents fret as leaders vow to stay focused",110782,993,58,2,16,0,0,0,0
wknd,2019-04-26,20190426,"Sun, The (Baltimore, MD)",ckaltenbach@baltsun.com;twitter.com/chriskaltsun,"Day Out; 
with Thomas",110784,324,27,1,4,0,0,0,0
main news,2019-04-26,20190426,"Sun, The (Baltimore, MD)",Carl P. Leubsdorf,"Early patterns develop in race; 
for Democratic nomination",110785,667,42,0,3,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)","Jacques Kelly; The Baltimore Sun; 
jacques.kelly@baltsun.com","Stephen J. Hudson; 
The retired president of the James Posey Engineering Co. designed mechanical systems for schools and historic structures",110787,719,43,0,3,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",Patrick D. Hahn,"Europe's answer; 
to depression: Doctor-assisted suicide",110788,707,36,0,11,0,1,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",NA,"Met honors Domingo on golden anniversary; 
CELEBRITIES; 
Tribune news services",110790,495,27,1,4,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",NA,Around the region,110791,665,30,2,13,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)","Alex Mann; amann@capgaznews.com; 
https://twitter.com/alex_mann10","Man charged in Capital Gazette shooting pleads; 
He enters pleas of not guilty, not criminally responsible",110792,464,17,0,10,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)","Colin Campbell; The Baltimore Sun; 
cmcampbell@baltsun.com;twitter.com/cmcampbell6","Jury will begin deliberations in trial; 
Teen charged with killing police officer Amy Caprio",110793,636,35,0,16,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)","Sameer Rao; The Baltimore Sun; 
srao@baltsun.com;twitter.com/amancalledsrao","Three cheers for 'Mr. K'; 
Kyair Butts, who teaches middle school English at Waverly,; 
was named Baltimore City Teacher of the Year on Monday",110794,495,23,0,3,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",fred.rasmussen@baltsun.com,"Ellen T. Gale, homemaker and volunteer",110795,371,28,0,1,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",Nicholas Creary,"Maryland lynching commission offers chance to investigate, atone",110796,761,25,0,17,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",NA,"Trump's revisionist history; 
on hate and intolerance",110797,690,47,1,23,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",Jules Witcover,The Republican Party is on trial,110798,735,34,1,16,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",NA,"Beluga whale with Russian harness raises alarm in Norway; 
NEWS BRIEFING; 
Staff and news services; 
U.S. measles cases top 700, with many illnesses among kids; 
146 migrants land in Italy in U.N.-organized evacuation; 
Abandon Jakarta: Indonesia again mulls plan for new capital; 
Airstrikes, roadblocks trap civilians in Tripoli; 
Deputy AG Rosenstein submits letter of resignation",110799,1008,44,1,8,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)",NA,Maryland's rockfish preservation challenge,110800,745,31,0,6,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)","Tim Prudente; The Baltimore Sun; 
tprudente@baltsun.com;twitter.com/tim_prudente","Judge strips stepfather's authority over estate; 
Decision empowers grown sons of murdered woman",110801,467,28,0,8,0,0,0,0
main news,2019-04-30,20190430,"Sun, The (Baltimore, MD)","Sarah Meehan; The Baltimore Sun; 
smeehan@baltsun.com;twitter.com/sarahvmeehan","People lament shooting at cookout; 
West Baltimore neighbors share thoughts on community, crime app, rumors of event that left one dead, seven injured",110802,839,43,7,4,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)",Jacques Kelly; jacques.kelly@baltsun.com,"Roofless former hospital, orphanage gets stronger; 
Real work begins to save 1876 building, vacant for 30 years",110804,643,38,0,6,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)","Catherine Rentz; The Baltimore Sun; 
crentz@baltsun.com;twitter.com/cdrentz","Students lock down campus building; 
John Hopkins President Daniels says protest; 
has become 'untenable'",110805,284,11,0,3,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)","Lorraine Mirabella; The Baltimore Sun; 
lorraine.mirabella@baltsun.com;twitter.com/lmirabella","Sinclair to buy Fox sports networks; 
Hunt Valley-based company and partner reach $10.6B deal to acquire regional, college channels from Walt Disney Co.",110806,1034,45,0,11,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)","Jim Rosapepe, Annapolis;The writer, a Democrat, represents District 21, Prince George's and Anne Arundel counties, in the Maryland Senate.;Ta-Kuay Lee, Washington;The writer is director of the press division of the Taipei Economic and Cultural Representat",Don't ignore working class - in the city or the suburbs,110807,769,44,0,6,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)",NA,Johns Hopkins and protesters need to find common ground,110809,932,51,1,13,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)","Frederick N. Rasmussen; The Baltimore Sun; 
fred.rasmussen@baltsun.com","Raymond J. Piechocki; 
Former resident of Timonium and Middle River  was  Baltimore architect who established Piechocki Consultants",110811,961,63,0,10,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)","Sarah Meehan; The Baltimore Sun; 
smeehan@baltsun.com;twitter.com/sarahvmeehan","78-year-old killed by stray bullet in Lansdowne; 
Isabel Villalobos De Vasquez was a devoted churchgoer known for her kindness and charisma, according to friend",110812,551,33,0,4,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)",NA,Around the region,110813,575,29,0,8,0,0,0,0
main news,2019-05-04,20190504,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110814,596,56,0,6,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)",NA,"HBO wipes up 'GOT' coffee gaffe; 
CELEBRITIES; 
Tribune news services",110816,494,29,2,1,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)",Ron Kipling Williams,Art is an anti-violence program,110817,699,32,0,3,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110818,602,52,0,8,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)","Libby Solomon; Baltimore Sun Media Group; 
asolomon@baltsun.com;twitter.com/libsolomon","Court ruling could empower taxpayers; 
to sue governments for wasteful spending",110819,627,26,0,17,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)","Jacques Kelly; The Baltimore Sun; 
jacques.kelly@baltsun.com","Paul H. Hutchins Jr.; 
Retired Sun photographer  took the iconic, award-winning picture at the end of the Orioles' 1966 World Series sweep",110820,1299,101,13,5,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)","Alison Knezevich; The Baltimore Sun; 
alisonk@baltsun.com","Olszewski picks Hyatt for county police chief; 
If confirmed, she would be the first woman in the role",110821,348,17,0,7,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)",Dan ;Rodricks; drodricks@baltsun.com;twitter.com/DanRodricks,What do we have to do to stop the killings? Everything,110822,939,44,0,12,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)","Jessica Anderson and Phil Davis; The Baltimore Sun; 
jkanderson@baltsun.com;twitter.com/janders5","Baltimore family grateful to police, but plans to move; 
Praises officers who rushed boy to hospital after he was shot",110824,911,56,0,10,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)",NA,Around the region,110825,611,22,3,11,1,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)",NA,We need more doctors who treat addictions,110826,715,37,0,8,0,0,0,0
main news,2019-05-08,20190508,"Sun, The (Baltimore, MD)","Luke Broadwater;and Kevin Rector; The Baltimore Sun; 
luke.broadwater@baltsun.com;krector@baltsun.com;twitter.com/lukebroadwater;twitter.com/rectorsun","UMMS board's chairman, 2 other members resign; 
Additional contract revealed; Rifkin says; 
his company provided a service for free",110827,1401,67,3,35,1,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",NA,Erasing city's 'stop snitching' culture,110828,696,33,1,11,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",NA,NOTABLE DEATHS ELSEWHERE,110830,512,25,0,7,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)","Doug Donovan; The Baltimore Sun; 
ddonovan@baltsun.com;twitter.com/dougdonovan","3 deny ties to MCAT board; 
Nonprofit connected; 
to Pugh probe reported them as members",110831,1217,60,6,10,0,1,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Amy Dickinson,Daughter wants out of dad's church,110832,753,44,1,11,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",NA,best-sellers,110834,358,26,0,5,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",NA,"Growing up poor didn't; 
make Dawnta Harris a killer",110835,754,41,1,10,0,0,0,0
howard,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Erin B. Logan; Baltimore Sun Media Group,County gets OK to agree to buy land to build school,110836,536,23,0,11,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Judith Graham; Kaiser Health,"Researchers heed elders; 
Group gives senior citizens; 
a forum where they can offer sage advice on aging issues",110837,1015,42,0,5,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)","Laura Black; Laura Black (lauracelesteblack@gmail.com) is a freelance writer working on her second book, tentatively titled: ""The Weight of a Woman: A Memoir of Pounds, Power, Pressures and Purpose.""","Mother's Day: loss, love and what to wear",110838,824,68,0,7,0,0,0,0
howard,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Erin B. Logan; Baltimore Sun Media Group,"Groups seek to keep proposed funding; 
County executive proposed $1.7 billion budget, a 3% increase",110839,688,28,1,9,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)","Liz Bowie; The Baltimore Sun; 
liz.bowie@baltsun.com;twitter.com/lizbowie","Coppin president search questioned; 
Leader of the NAACP's Baltimore branch says regents lack transparency",110840,406,17,0,4,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Chris Kaltenbach; The Baltimore Sun,"Proud Baltimoreans highlight 2019 film festival; 
Crowd-pleasing short about Ceasefire organizer; Waters introduces black comedy",110841,486,18,2,2,0,0,0,0
howard,2019-05-12,20190512,"Sun, The (Baltimore, MD)",NA,Around Howard County,110842,424,19,0,1,0,0,0,0
howard,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Jess Nocera; Howard County Times,HCC releases second student academic research journal,110843,759,32,0,7,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)","Jonah Goldberg; Jonah Goldberg is a fellow at the American Enterprise Institute and a senior editor of National Review. His latest book is ""The Suicide of the West."" Email: goldbergcolumn@gmail.com; Twitter: @JonahNRO.",Is this a return to 'normalcy'?,110844,814,46,0,15,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)","Traci Parker; Traci Parker is the author of ""Department Stores and the Black Freedom Movement: Workers, Consumers and Civil Rights from the 1930s to the 1980s"" (University of North Carolina Press, 2019) and an assistant professor of Afro-American Studies at the Univers","Sears' complicated history with; 
black customers",110845,798,39,0,17,0,0,0,0
howard,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Katie V. Jones; Baltimore Sun Media Group,"New book tells the story of park; 
Patapsco Valley State Park history told by local experts",110846,799,42,0,5,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Jill Schlesinger,"Guard against; 
unwise actions; 
when markets rise; 
Jill on Money",110847,589,30,0,3,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Carrie Battan; Fast Company,"The Instagram trap; 
Women are building successful brands as influencers, but they have to play the game",110848,999,48,0,5,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110849,591,51,0,7,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Dan ;Rodricks; drodricks@baltsun.com;twitter.com/DanRodricks,Reverse  population slide: Kick west side into gear,110850,936,42,0,10,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Jonathan M. Pitts; The Baltimore Sun,A source of cheer for the moms of violence victims,110851,985,43,0,4,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Ilana Kaplan; Variety,'iZombie' creator promises neatly wrapped final season,110852,619,34,0,3,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)","Frederick N. Rasmussen; The Baltimore Sun; 
fred.rasmussen@baltsun.com","John G. Turnbull II; 
Former Baltimore County judge plowed and planted fields of corn, soybeans and other vegetables at his Sparks farm",110853,969,63,2,2,0,0,0,0
howard,2019-05-12,20190512,"Sun, The (Baltimore, MD)",NA,Health digest,110854,465,33,0,4,0,0,0,0
howard,2019-05-12,20190512,"Sun, The (Baltimore, MD)",Janene Holzberg; For The Baltimore Sun,"Giving respite from daily routine; 
Nonprofit Respite Retreats seeks; 
to give cancer patients a break",110855,1088,49,0,7,0,0,0,0
main news,2019-05-12,20190512,"Sun, The (Baltimore, MD)","Jeff Barker; The Baltimore Sun; 
jebarker@baltsun.com;twitter.com/sunjeffbarker","Keeping Preakness; 
Some say Pimlico needs a $424M rebuild.  Advocates have a different plan to keep the Stakes in Baltimore: Build a more temporary track",110856,1417,59,1,19,0,0,0,0
main news,2019-05-16,20190516,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110857,587,50,0,7,0,0,0,0
main news,2019-05-16,20190516,"Sun, The (Baltimore, MD)",David Plymyer,Judicial discipline breaks down,110859,595,29,0,15,0,0,0,0
health and style,2019-05-16,20190516,"Sun, The (Baltimore, MD)",Aramide Esubi; Tribune Content Agency,Tips to help curb your unnecessary purchases,110860,497,23,0,2,0,0,0,0
